isoform,combiner,repeat,fold,ST-RAE
CYP2D6,nnls,1,3,0.8628458679529979
CYP2D6,nnls,1,4,0.9416410612176722
CYP2D6,nnls,2,0,0.9239794204240905
CYP2D6,nnls,2,1,0.8750193709935752
CYP2D6,nnls,2,2,0.8721353458793045
CYP2D6,nnls,2,3,0.9097563967357364
CYP2D6,nnls,2,4,0.9216080602915487
CYP2D6,nnls,3,0,0.9225956748863778
CYP2D6,nnls,3,1,0.9202082929047186
CYP2D6,nnls,3,2,0.8792071574314738
CYP2D6,nnls,3,3,0.8889406604255776
CYP2D6,nnls,3,4,0.8370506220534359
CYP2D6,nnls,4,0,0.8856187607391368
CYP2D6,nnls,4,1,0.880926423724914
CYP2D6,nnls,4,2,0.8859381168555935
CYP2D6,nnls,4,3,0.8600175037113759
CYP2D6,nnls,4,4,0.9279330788517667
CYP2D6,nn_ridge,0,0,0.8775119948165048
CYP2D6,nn_ridge,0,1,0.9128829952226616
