isoform,combiner,repeat,fold,config,coefficient
CYP1A2,elastic_net,1,2,chemprop_randominit,0.14775214526369962
CYP1A2,elastic_net,1,2,ecfp4_narrow__lightgbm,0.1736641370730343
CYP1A2,elastic_net,1,2,ecfp4_narrow__rf,0.09448966942530057
CYP1A2,elastic_net,1,2,ecfp4_narrow__xgboost,0.04424676606205965
CYP1A2,elastic_net,1,2,mordred_pca__lightgbm,0.09525229432147417
CYP1A2,elastic_net,1,2,mordred_pca__rf,0.042365890072691856
CYP1A2,elastic_net,1,2,mordred_pca__xgboost,0.0
CYP1A2,elastic_net,1,2,__intercept__,-0.8294270009746105
CYP1A2,nnls,1,2,chemeleon__lightgbm,0.0
CYP1A2,nnls,1,2,chemeleon__rf,0.14608654333436222
CYP1A2,nnls,1,2,chemeleon__xgboost,0.0
CYP1A2,nnls,1,2,chemprop_chemeleoninit,0.45002444436699673
CYP1A2,nnls,1,2,chemprop_randominit,0.143675328154993
CYP1A2,nnls,1,2,ecfp4_narrow__lightgbm,0.19256430974941474
CYP1A2,nnls,1,2,ecfp4_narrow__rf,0.053687353236023576
CYP1A2,nnls,1,2,ecfp4_narrow__xgboost,0.0
CYP1A2,nnls,1,2,mordred_pca__lightgbm,0.014486727011343388
CYP1A2,nnls,1,2,mordred_pca__rf,0.0
CYP1A2,nnls,1,2,mordred_pca__xgboost,0.0
CYP1A2,nn_ridge,1,2,chemeleon__lightgbm,0.0
CYP1A2,nn_ridge,1,2,chemeleon__rf,0.14482407511434459
CYP1A2,nn_ridge,1,2,chemeleon__xgboost,0.0
CYP1A2,nn_ridge,1,2,chemprop_chemeleoninit,0.4396148395009614
CYP1A2,nn_ridge,1,2,chemprop_randominit,0.14771923843177656
CYP1A2,nn_ridge,1,2,ecfp4_narrow__lightgbm,0.18545842118671377
CYP1A2,nn_ridge,1,2,ecfp4_narrow__rf,0.06346945701197183
CYP1A2,nn_ridge,1,2,ecfp4_narrow__xgboost,0.0
CYP1A2,nn_ridge,1,2,mordred_pca__lightgbm,0.019376237350402954
CYP1A2,nn_ridge,1,2,mordred_pca__rf,0.0
CYP1A2,nn_ridge,1,2,mordred_pca__xgboost,0.0
CYP1A2,ridge,1,3,chemeleon__lightgbm,0.015843037350508293
CYP1A2,ridge,1,3,chemeleon__rf,0.17646545316263823
CYP1A2,ridge,1,3,chemeleon__xgboost,0.0013659081307299352
CYP1A2,ridge,1,3,chemprop_chemeleoninit,0.3733244399880483
CYP1A2,ridge,1,3,chemprop_randominit,0.1501018651285921
CYP1A2,ridge,1,3,ecfp4_narrow__lightgbm,0.16853387311938525
CYP1A2,ridge,1,3,ecfp4_narrow__rf,0.11125307106106402
CYP1A2,ridge,1,3,ecfp4_narrow__xgboost,0.04647625100134387
CYP1A2,ridge,1,3,mordred_pca__lightgbm,0.09536485529691276
CYP1A2,ridge,1,3,mordred_pca__rf,0.054219607015879426
CYP1A2,ridge,1,3,mordred_pca__xgboost,0.00017277432288035784
CYP1A2,ridge,1,3,__intercept__,-0.9640149207774167
CYP1A2,elastic_net,1,3,chemeleon__lightgbm,0.0
CYP1A2,elastic_net,1,3,chemeleon__rf,0.19231270200121364
CYP1A2,elastic_net,1,3,chemeleon__xgboost,0.0
