isoform,offset,strae,r2
CYP1A2,1.3,2.2009718561664116,-1.3723307069508812
CYP1A2,1.31,2.2188932924852285,-1.3970178061048921
CYP1A2,1.32,2.2368609738038967,-1.4218933837253775
CYP1A2,1.33,2.254881535283087,-1.4469574398123362
CYP1A2,1.34,2.2729457742540204,-1.472209974365768
CYP1A2,1.35,2.2910524516210358,-1.4976509873856756
CYP1A2,1.36,2.3092087997958575,-1.5232804788720564
CYP1A2,1.37,2.327420616732997,-1.54909844882491
CYP1A2,1.38,2.3456660406261705,-1.5751048972442385
CYP1A2,1.39,2.36395844187647,-1.6012998241300407
CYP1A2,1.4,2.3823048567992524,-1.6276832294823174
CYP1A2,1.41,2.4006991833249307,-1.6542551133010681
CYP1A2,1.42,2.419140207240902,-1.681015475586292
CYP1A2,1.43,2.4376309509383436,-1.70796431633799
CYP1A2,1.44,2.4561624267340747,-1.735101635556163
CYP1A2,1.45,2.474754857581637,-1.7624274332408096
CYP1A2,1.46,2.4933857932703605,-1.7899417093919299
CYP1A2,1.47,2.5120533627008124,-1.8176444640095233
CYP1A2,1.48,2.5307522393566386,-1.845535697093592
CYP1A2,1.49,2.5494916378942896,-1.873615408644135
CYP1A2,1.5,2.5682624248478403,-1.9018835986611502
CYP1A2,1.51,2.5870705866894332,-1.93034026714464
CYP1A2,1.52,2.6059074936513893,-1.9589854140946046
CYP1A2,1.53,2.6247800154607988,-1.9878190395110433
CYP1A2,1.54,2.643680401095145,-2.0168411433939553
CYP1A2,1.55,2.662615688094483,-2.04605172574334
CYP1A2,1.56,2.6815775110682343,-2.0754507865592005
CYP1A2,1.57,2.700578807089177,-2.105038325841535
CYP1A2,1.58,2.7196219779128334,-2.1348143435903424
CYP1A2,1.59,2.738690985751965,-2.164778839805624
CYP1A2,1.6,2.7577849582874916,-2.19493181448738
CYP1A2,1.61,2.7769047335468438,-2.2252732676356106
CYP1A2,1.62,2.7960529548976005,-2.255803199250314
CYP1A2,1.63,2.815224937711238,-2.286521609331491
CYP1A2,1.64,2.834423167671378,-2.317428497879142
CYP1A2,1.65,2.8536409383973336,-2.3485238648932683
CYP1A2,1.66,2.8728755979486147,-2.3798077103738686
CYP1A2,1.67,2.8921257383071564,-2.4112800343209413
CYP1A2,1.68,2.911391866974983,-2.4429408367344885
CYP1A2,1.69,2.93066862387891,-2.4747901176145106
CYP1A2,1.7,2.9499710065732705,-2.5068278769610064
CYP1A2,1.71,2.9692978613025054,-2.539054114773976
CYP1A2,1.72,2.988648171290353,-2.571468831053418
CYP1A2,1.73,3.0080265790067773,-2.6040720257993364
CYP1A2,1.74,3.0274399614982612,-2.6368636990117285
CYP1A2,1.75,3.046875370655303,-2.669843850690593
CYP1A2,1.76,3.0663289735790644,-2.7030124808359313
CYP1A2,1.77,3.0857873929957136,-2.736369589447745
CYP1A2,1.78,3.1052635028842692,-2.7699151765260335
CYP1A2,1.79,3.124762447208475,-2.8036492420707937
CYP1A2,1.8,3.144281471340195,-2.837571786082029
CYP1A2,1.81,3.1638257879561484,-2.871682808559738
CYP1A2,1.82,3.183387607635815,-2.9059823095039223
CYP1A2,1.83,3.2029708925489113,-2.9404702889145784
CYP1A2,1.84,3.2225626689968734,-2.975146746791709
CYP1A2,1.85,3.242162496519296,-3.010011683135314
CYP1A2,1.86,3.2617752002252036,-3.045065097945394
CYP1A2,1.87,3.2814088330189026,-3.0803069912219456
CYP1A2,1.88,3.301058893213507,-3.115737362964972
CYP1A2,1.89,3.3207230277822184,-3.1513562131744726
CYP1A2,1.9,3.3404030883156883,-3.187163541850449
CYP1A2,1.91,3.360090754722897,-3.2231593489928976
CYP1A2,1.92,3.3797926878256193,-3.2593436346018194
CYP1A2,1.93,3.3995082464852544,-3.2957163986772153
CYP1A2,1.94,3.419236400338554,-3.332277641219087
CYP1A2,1.95,3.4389730798310616,-3.369027362227432
CYP1A2,1.96,3.458721125305633,-3.40596556170225
CYP1A2,1.97,3.478484980254209,-3.4430922396435424
CYP1A2,1.98,3.4982564408459904,-3.4804073960513087
CYP1A2,1.99,3.5180374302086257,-3.517911030925551
CYP1A2,2.0,3.5378320498973044,-3.5556031442662643
CYP2C9,-2.0,5.341767115234262,-6.1865562687473545
CYP2C9,-1.99,5.311761409451406,-6.1211103753875316
CYP2C9,-1.98,5.28176947291534,-6.055991542072222
CYP2C9,-1.97,5.25180874451896,-5.991199768801428
CYP2C9,-1.96,5.22185467715707,-5.926735055575151
CYP2C9,-1.95,5.191909255423057,-5.86259740239339
CYP2C9,-1.94,5.161975996737029,-5.798786809256141
CYP2C9,-1.93,5.1320680397625535,-5.735303276163407
CYP2C9,-1.92,5.102183698553953,-5.672146803115192
CYP2C9,-1.91,5.07231591217654,-5.609317390111492
CYP2C9,-1.9,5.042455078263177,-5.546815037152304
CYP2C9,-1.89,5.012612889590928,-5.484639744237633
CYP2C9,-1.88,4.982792361162187,-5.422791511367477
CYP2C9,-1.87,4.953001460371921,-5.361270338541838
CYP2C9,-1.86,4.923229849743065,-5.300076225760716
CYP2C9,-1.85,4.893463212739544,-5.239209173024103
CYP2C9,-1.84,4.863713757107282,-5.178669180332006
CYP2C9,-1.83,4.833986960997724,-5.1184562476844295
CYP2C9,-1.82,4.80427814990453,-5.058570375081366
CYP2C9,-1.81,4.774586818607057,-4.999011562522817
CYP2C9,-1.8,4.744916123866141,-4.9397798100087815
CYP2C9,-1.79,4.7152545213108015,-4.880875117539265
CYP2C9,-1.78,4.6856076750775735,-4.822297485114263
CYP2C9,-1.77,4.655989624486024,-4.764046912733774
CYP2C9,-1.76,4.626386266642327,-4.7061234003978
CYP2C9,-1.75,4.596810095388972,-4.648526948106345
CYP2C9,-1.74,4.567260863374221,-4.5912575558594035
CYP2C9,-1.73,4.537718430208465,-4.534315223656976
CYP2C9,-1.72,4.508182562405752,-4.477699951499065
CYP2C9,-1.71,4.478682190743371,-4.421411739385669
CYP2C9,-1.7,4.449206555842363,-4.365450587316789
CYP2C9,-1.69,4.419750386793938,-4.309816495292423
CYP2C9,-1.68,4.39032100480773,-4.254509463312572
CYP2C9,-1.67,4.360918874127137,-4.1995294913772385
CYP2C9,-1.66,4.331537447843753,-4.144876579486418
CYP2C9,-1.65,4.302179326325832,-4.090550727640114
CYP2C9,-1.64,4.272834840283348,-4.0365519358383235
CYP2C9,-1.63,4.243523747792199,-3.9828802040810505
CYP2C9,-1.62,4.214219176586271,-3.929535532368294
CYP2C9,-1.61,4.18495329367771,-3.876517920700051
