isoform,s,strae,r2
CYP1A2,1.65,1.1481006804291114,-0.04038657605561302
CYP1A2,1.66,1.1538949701472192,-0.04718395488034921
CYP1A2,1.67,1.1597239217520416,-0.05406028242606786
CYP1A2,1.68,1.1655798790632443,-0.06101555869276898
CYP1A2,1.69,1.17147211070327,-0.068049783680453
CYP1A2,1.7,1.1773836479050337,-0.07516295738911927
CYP1A2,1.71,1.1833244044638735,-0.08235507981876844
CYP1A2,1.72,1.1892998297604003,-0.08962615096939985
CYP1A2,1.73,1.1952972217155569,-0.09697617084101351
CYP1A2,1.74,1.2013193486011875,-0.1044051394336103
CYP1A2,1.75,1.2073613900454234,-0.1119130567471891
CYP1A2,1.76,1.213443870892401,-0.11949992278175081
CYP1A2,1.77,1.219573044134403,-0.127165737537295
CYP1A2,1.78,1.2257344517053372,-0.13491050101382185
CYP1A2,1.79,1.2319329510049173,-0.14273421321133117
CYP1A2,1.8,1.238162304513911,-0.15063687412982296
CYP1A2,1.81,1.244413517342434,-0.1586184837692972
CYP1A2,1.82,1.250692405311447,-0.16667904212975415
CYP1A2,1.83,1.2570058266098014,-0.17481854921119355
CYP1A2,1.84,1.2633547840368369,-0.18303700501361542
CYP1A2,1.85,1.2697288739346815,-0.19133440953701975
CYP1A2,1.86,1.2761235530134372,-0.19971076278140676
CYP1A2,1.87,1.2825461897445536,-0.20816606474677646
CYP1A2,1.88,1.2889886620229123,-0.2167003154331284
CYP1A2,1.89,1.2954630039774562,-0.22531351484046303
CYP1A2,1.9,1.3019694316199877,-0.23400566296878011
CYP1A2,1.91,1.308504058103732,-0.24277675981807967
CYP1A2,1.92,1.3150654270897273,-0.25162680538836235
CYP1A2,1.93,1.3216484662721344,-0.26055579967962705
CYP1A2,1.94,1.3282551436003807,-0.2695637426918742
CYP1A2,1.95,1.3348870350573865,-0.27865063442510407
CYP1A2,1.96,1.3415395774434538,-0.28781647487931683
CYP1A2,1.97,1.3482209083498817,-0.29706126405451183
CYP1A2,1.98,1.3549248751747947,-0.30638500195068885
CYP1A2,1.99,1.3616490398317536,-0.3157876885678492
CYP1A2,2.0,1.3684019733952744,-0.3252693239059916
CYP1A2,2.01,1.375171316031918,-0.3348299079651169
CYP1A2,2.02,1.381952273042316,-0.3444694407452247
CYP1A2,2.03,1.3887494200138484,-0.3541879222463147
CYP1A2,2.04,1.3955688902842813,-0.3639853524683876
CYP1A2,2.05,1.402414171335601,-0.37386173141144274
CYP1A2,2.06,1.4092820551737704,-0.3838170590754808
CYP1A2,2.07,1.4161690891873369,-0.3938513354605009
CYP1A2,2.08,1.4230784261141662,-0.4039645605665041
CYP1A2,2.09,1.4300242208230034,-0.4141567343934893
CYP1A2,2.1,1.4369897973365457,-0.4244278569414577
CYP1A2,2.11,1.443977727279774,-0.43477792821040784
CYP1A2,2.12,1.450981714062502,-0.4452069482003411
CYP1A2,2.13,1.4580014505116679,-0.45571491691125665
CYP1A2,2.14,1.4650532546520152,-0.4663018343431551
CYP1A2,2.15,1.4721274737161696,-0.4769677004960353
CYP1A2,2.16,1.4792138817882232,-0.4877125153698989
CYP1A2,2.17,1.4863178718770627,-0.49853627896474473
CYP1A2,2.18,1.493458146868903,-0.509438991280573
CYP1A2,2.19,1.500631691658468,-0.5204206523173838
CYP1A2,2.2,1.5078225199397128,-0.5314812620751777
CYP1A2,2.21,1.515025755430838,-0.5426208205539533
CYP1A2,2.22,1.5222545359115884,-0.5538393277537115
CYP1A2,2.23,1.5295036626232221,-0.5651367836744525
CYP1A2,2.24,1.5367807832990827,-0.5765131883161765
CYP1A2,2.25,1.5440780698519498,-0.5879685416788825
