isoform,offset,s,strae
CYP1A2,-1.65,1.0,3.004150369063734
CYP1A2,-1.65,1.05,2.999618279918423
CYP1A2,-1.65,1.1,2.995360998178635
CYP1A2,-1.65,1.15,2.991413138844702
CYP1A2,-1.65,1.2,2.987691207238803
CYP1A2,-1.65,1.25,2.9842838621520893
CYP1A2,-1.65,1.3,2.981273058347721
CYP1A2,-1.65,1.35,2.978686560878422
CYP1A2,-1.65,1.4,2.97651810872929
CYP1A2,-1.65,1.45,2.97477880142727
CYP1A2,-1.65,1.5,2.9735814867772774
CYP1A2,-1.65,1.55,2.9729835794485813
CYP1A2,-1.65,1.6,2.972952214259662
CYP1A2,-1.65,1.65,2.973448647755883
CYP1A2,-1.65,1.7,2.9745390670956575
CYP1A2,-1.65,1.75,2.9762099161130795
CYP1A2,-1.65,1.8,2.978483263860614
CYP1A2,-1.65,1.85,2.981348491724504
CYP1A2,-1.65,1.9,2.9847992870266804
CYP1A2,-1.65,1.95,2.9888620493408693
CYP1A2,-1.65,2.0,2.9936685584554303
CYP1A2,-1.65,2.05,2.999227340396963
CYP1A2,-1.65,2.1,3.0054874633241253
CYP1A2,-1.65,2.15,3.0124954740431216
CYP1A2,-1.65,2.2,3.0203173271282733
CYP1A2,-1.65,2.25,3.028958237181264
CYP1A2,-1.65,2.3,3.03841717863719
CYP1A2,-1.65,2.35,3.0486806436485447
CYP1A2,-1.65,2.4,3.0596704742454013
CYP1A2,-1.65,2.45,3.0714367739099715
CYP1A2,-1.65,2.5,3.0840932769903793
CYP1A2,-1.65,2.55,3.097511382205147
CYP1A2,-1.65,2.6,3.1117149823759163
CYP1A2,-1.65,2.65,3.126768994877619
CYP1A2,-1.65,2.7,3.142710477162307
CYP1A2,-1.65,2.75,3.1595475933242483
CYP1A2,-1.65,2.8,3.1770565518637603
CYP1A2,-1.65,2.85,3.195296626426661
CYP1A2,-1.65,2.9,3.2142071575504256
CYP1A2,-1.65,2.95,3.2338605045915205
CYP1A2,-1.65,3.0,3.254252870118035
CYP1A2,-1.6,0.2,3.015627212405429
CYP1A2,-1.6,0.25,3.0080088285135873
CYP1A2,-1.6,0.3,3.0006837242245514
CYP1A2,-1.6,0.35,2.9936109282395478
CYP1A2,-1.6,0.4,2.9867156340342578
CYP1A2,-1.6,0.45,2.979984572417903
CYP1A2,-1.6,0.5,2.97340648261953
CYP1A2,-1.6,0.55,2.9669836126942624
CYP1A2,-1.6,0.6,2.960646796380533
CYP1A2,-1.6,0.65,2.954425513648907
CYP1A2,-1.6,0.7,2.94831399419541
CYP1A2,-1.6,0.75,2.9423162897409485
CYP1A2,-1.6,0.8,2.9364268213081934
CYP1A2,-1.6,0.85,2.9307184847293226
CYP1A2,-1.6,0.9,2.925240306247766
CYP1A2,-1.6,0.95,2.9200290560318294
CYP1A2,-1.6,1.0,2.9151391569813865
CYP1A2,-1.6,1.05,2.910570059355825
CYP1A2,-1.6,1.1,2.906285857333039
CYP1A2,-1.6,1.15,2.902297219903999
CYP1A2,-1.6,1.2,2.8986221830569905
CYP1A2,-1.6,1.25,2.8952869578335116
CYP1A2,-1.6,1.3,2.892311938312056
CYP1A2,-1.6,1.35,2.88987933574344
CYP1A2,-1.6,1.4,2.887834122616098
CYP1A2,-1.6,1.45,2.88624318782761
CYP1A2,-1.6,1.5,2.8851943750990796
CYP1A2,-1.6,1.55,2.8846879005997166
CYP1A2,-1.6,1.6,2.884711344415133
CYP1A2,-1.6,1.65,2.885345420494766
CYP1A2,-1.6,1.7,2.8866539986897073
