isoform,combo,repeat,fold,ST-RAE,R2
CYP1A2,chemprop_chemeleoninit+chemeleon__rf+ecfp4_narrow__lightgbm,2,0,0.7796431320248768,0.29840030870918394
CYP1A2,chemprop_chemeleoninit+chemeleon__rf+ecfp4_narrow__lightgbm,2,1,0.7962798908016694,0.27236716569990765
CYP1A2,chemprop_chemeleoninit+chemeleon__rf+ecfp4_narrow__lightgbm,2,2,0.845271006139129,0.2666919310886593
CYP1A2,chemprop_chemeleoninit+chemeleon__rf+ecfp4_narrow__lightgbm,2,3,0.8699124213674367,0.2021089822328538
CYP1A2,chemprop_chemeleoninit+chemeleon__rf+ecfp4_narrow__lightgbm,2,4,0.7495129518718038,0.27279148137352915
CYP1A2,chemprop_chemeleoninit+chemeleon__rf+ecfp4_narrow__lightgbm,3,0,0.7470907130914631,0.302072001440033
CYP1A2,chemprop_chemeleoninit+chemeleon__rf+ecfp4_narrow__lightgbm,3,1,0.8402511424020089,0.21599539980131519
CYP1A2,chemprop_chemeleoninit+chemeleon__rf+ecfp4_narrow__lightgbm,3,2,0.8446157341757116,0.25474784202556805
CYP1A2,chemprop_chemeleoninit+chemeleon__rf+ecfp4_narrow__lightgbm,3,3,0.8072524100446525,0.25603904534373284
CYP1A2,chemprop_chemeleoninit+chemeleon__rf+ecfp4_narrow__lightgbm,3,4,0.7534093859997288,0.276615168603852
CYP1A2,chemprop_chemeleoninit+chemeleon__rf+ecfp4_narrow__lightgbm,4,0,0.8145858820430503,0.2653733598400038
CYP1A2,chemprop_chemeleoninit+chemeleon__rf+ecfp4_narrow__lightgbm,4,1,0.821902452461636,0.17512627549345494
CYP1A2,chemprop_chemeleoninit+chemeleon__rf+ecfp4_narrow__lightgbm,4,2,0.7609737206252345,0.2856188797675121
CYP1A2,chemprop_chemeleoninit+chemeleon__rf+ecfp4_narrow__lightgbm,4,3,0.762619125002135,0.2971987101439458
CYP1A2,chemprop_chemeleoninit+chemeleon__rf+ecfp4_narrow__lightgbm,4,4,0.8270970199523616,0.2707922186818121
CYP1A2,ecfp4_narrow__rf+chemeleon__rf+ecfp4_narrow__lightgbm,0,0,0.8003235725091199,0.23651861157818693
CYP1A2,ecfp4_narrow__rf+chemeleon__rf+ecfp4_narrow__lightgbm,0,1,0.8689996147963365,0.16862852675795312
CYP1A2,ecfp4_narrow__rf+chemeleon__rf+ecfp4_narrow__lightgbm,0,2,0.7858297709724346,0.2553221497939276
CYP1A2,ecfp4_narrow__rf+chemeleon__rf+ecfp4_narrow__lightgbm,0,3,0.8344900811217374,0.2402671222487652
CYP1A2,ecfp4_narrow__rf+chemeleon__rf+ecfp4_narrow__lightgbm,0,4,0.8531528402422309,0.2106074407908999
