repeat,fold,arm,seed,Endpoint,ST-RAE,MAE,R2,Spearman_R,Kendall_Tau
1,1,aid,3543069911,CYP3A4_pIC50_direct_inhibition,0.5254484385885794,0.5135716558698716,0.611020880970111,0.793259958568289,0.6020192888240765
1,1,aid,3543069911,MA,0.7406678400738682,0.5554193223042655,0.3782026110609233,0.6036607738673312,0.4380201186040505
1,1,baseline,3543069911,CYP1A2_pIC50_direct_inhibition,0.9040377505924748,0.7092920835439055,0.2344169773342618,0.5911132756135385,0.4155041080610244
1,1,baseline,3543069911,CYP2C9_pIC50_direct_inhibition,0.6416581625586035,0.462390627140248,0.423739149201838,0.6373450074482926,0.45733478435705
1,1,baseline,3543069911,CYP2D6_pIC50_direct_inhibition,0.9645828553988516,0.5797446234241433,0.1131079858379468,0.3970655860142929,0.2720276869766748
1,1,baseline,3543069911,CYP3A4_pIC50_direct_inhibition,0.5386955018140125,0.5348721535289617,0.5821985973038059,0.7796512914167718,0.5867955734307402
1,1,baseline,3543069911,MA,0.7622435675909857,0.5715748719093147,0.3383656774194631,0.6012937901232239,0.4329155382063724
1,2,aid,3479688010,CYP1A2_pIC50_direct_inhibition,0.7173125464321923,0.6302865703900872,0.3631831330302472,0.593258980183397,0.4210790095183872
1,2,aid,3479688010,CYP2C9_pIC50_direct_inhibition,0.6515726005536574,0.4618822489016882,0.477176180684353,0.69918911837748,0.5077537899192177
1,2,aid,3479688010,CYP2D6_pIC50_direct_inhibition,0.9126116853221644,0.5719911414625248,0.1691265028033163,0.4512599069857592,0.3107187927114944
1,2,aid,3479688010,CYP3A4_pIC50_direct_inhibition,0.5160870774343778,0.5646770193415145,0.6030418685307608,0.787895223233858,0.5965542423661157
1,2,aid,3479688010,MA,0.699395977435598,0.5572092450239537,0.4031319212621693,0.6329008071951235,0.4590264586288037
1,2,baseline,3479688010,CYP1A2_pIC50_direct_inhibition,0.8839108776790604,0.718854896629885,0.1914620165182093,0.491470546678421,0.3413017688679142
